"","tempo","Country","valence","Country"
"1",141.981,"Canada",0.13,"Canada"
"2",150.087,"Canada",0.892,"Canada"
"3",169.928,"Canada",0.478,"Canada"
"4",80.87,"Canada",0.531,"Canada"
"5",116.032,"Canada",0.934,"Canada"
"6",93.023,"Canada",0.205,"Canada"
"7",150.273,"Canada",0.35,"Canada"
"8",121.932,"Canada",0.415,"Canada"
"9",141.02,"Canada",0.822,"Canada"
"10",67.196,"Canada",0.898,"Canada"
"11",119.705,"Canada",0.806,"Canada"
"12",94.775,"Canada",0.363,"Canada"
"13",88.098,"Canada",0.55,"Canada"
"14",126.011,"Canada",0.537,"Canada"
"15",97.014,"Canada",0.688,"Canada"
"16",107.682,"Canada",0.947,"Canada"
"17",201.739,"Canada",0.649,"Canada"
"18",130.503,"Canada",0.247,"Canada"
"19",77.011,"Canada",0.555,"Canada"
"20",82.03,"Canada",0.848,"Canada"
"21",191.9,"Canada",0.591,"Canada"
"22",145.887,"Canada",0.153,"Canada"
"23",87.981,"Canada",0.546,"Canada"
"24",166.928,"Canada",0.688,"Canada"
"25",161.993,"Canada",0.854,"Canada"
"26",136.008,"Canada",0.331,"Canada"
"27",148.733,"Canada",0.967,"Canada"
"28",78.696,"Canada",0.209,"Canada"
"29",134.002,"Canada",0.589,"Canada"
"30",110.054,"Canada",0.699,"Canada"
"31",142.169,"Canada",0.836,"Canada"
"32",106.035,"Canada",0.685,"Canada"
"33",91.751,"Canada",0.853,"Canada"
"34",110.97,"Canada",0.781,"Canada"
"35",153.96,"Canada",0.441,"Canada"
"36",151.251,"Canada",0.699,"Canada"
"37",97.985,"Canada",0.536,"Canada"
"38",94.995,"Canada",0.399,"Canada"
"39",124.927,"Canada",0.637,"Canada"
"40",178.781,"Canada",0.71,"Canada"
"41",159.876,"Canada",0.689,"Canada"
"42",80.511,"Canada",0.638,"Canada"
"43",93.005,"Canada",0.533,"Canada"
"44",120.966,"Canada",0.262,"Canada"
"45",107.998,"Canada",0.881,"Canada"
"46",120.122,"Canada",0.109,"Canada"
"47",134.009,"Canada",0.701,"Canada"
"48",83.5,"Canada",0.119,"Canada"
"49",130.041,"Canada",0.194,"Canada"
"50",115.412,"Canada",0.349,"Canada"
"51",147.757,"Brazil",0.271,"Brazil"
"52",127.971,"Brazil",0.897,"Brazil"
"53",107.97,"Brazil",0.784,"Brazil"
"54",124.039,"Brazil",0.488,"Brazil"
"55",143.059,"Brazil",0.821,"Brazil"
"56",115.972,"Brazil",0.499,"Brazil"
"57",77.011,"Brazil",0.555,"Brazil"
"58",101.179,"Brazil",0.84,"Brazil"
"59",119.983,"Brazil",0.761,"Brazil"
"60",109.874,"Brazil",0.444,"Brazil"
"61",150.087,"Brazil",0.892,"Brazil"
"62",77.044,"Brazil",0.829,"Brazil"
"63",142.306,"Brazil",0.209,"Brazil"
"64",104.948,"Brazil",0.83,"Brazil"
"65",183.98,"Brazil",0.575,"Brazil"
"66",111.993,"Brazil",0.557,"Brazil"
"67",141.981,"Brazil",0.13,"Brazil"
