"","track.name","instrumentalness","Danceability","Acousticness","Country"
"1","Easy On Me",0,0.604,0.578,"Canada"
"2","INDUSTRY BABY (feat. Jack Harlow)",0,0.741,0.0221,"Canada"
"3","STAY (with Justin Bieber)",0,0.591,0.0383,"Canada"
"4","Heat Waves",6.7e-06,0.761,0.44,"Canada"
"5","Cold Heart - PNAU Remix",7.25e-05,0.795,0.0354,"Canada"
"6","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",0,0.631,0.274,"Canada"
"7","All I Want for Christmas Is You",0,0.336,0.164,"Canada"
"8","abcdefu",0,0.695,0.299,"Canada"
"9","Shivers",0,0.788,0.281,"Canada"
"10","Rockin' Around The Christmas Tree",0,0.589,0.614,"Canada"
"11","Jingle Bell Rock",0,0.754,0.643,"Canada"
"12","It's Beginning to Look a Lot like Christmas",7.47e-06,0.339,0.908,"Canada"
"13","Oh My God",0,0.534,0.091,"Canada"
"14","Bad Habits",2.79e-05,0.807,0.0451,"Canada"
"15","One Right Now (with The Weeknd)",0,0.687,0.0361,"Canada"
"16","Last Christmas",2.48e-06,0.735,0.189,"Canada"
"17","It's the Most Wonderful Time of the Year",2.34e-06,0.234,0.871,"Canada"
"18","White Christmas",0.353,0.317,0.673,"Canada"
"19","Enemy (with JID) - from the series Arcane League of Legends",0,0.728,0.237,"Canada"
"20","Smokin Out The Window",0,0.627,0.0558,"Canada"
"21","Santa Tell Me",0,0.525,0.0489,"Canada"
"22","Knife Talk (with 21 Savage ft. Project Pat)",0,0.849,0.0635,"Canada"
"23","THATS WHAT I WANT",0,0.737,0.00614,"Canada"
"24","good 4 u",0,0.563,0.335,"Canada"
"25","Mistletoe",0,0.657,0.498,"Canada"
"26","Way 2 Sexy (with Future & Young Thug)",4.5e-06,0.803,0.000619,"Canada"
"27","Feliz Navidad",1.93e-06,0.514,0.406,"Canada"
"28","The Christmas Song (Merry Christmas To You)",8.06e-05,0.319,0.92,"Canada"
"29","Beggin'",0,0.714,0.127,"Canada"
"30","Better Days (NEIKED x Mae Muller x Polo G)",2.54e-06,0.717,0.0018,"Canada"
"31","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",0,0.652,0.903,"Canada"
"32","edamame (feat. Rich Brian)",0.000176,0.815,0.0229,"Canada"
"33","Sleigh Ride",2.21e-06,0.529,0.403,"Canada"
"34","Kiss Me More (feat. SZA)",8.92e-05,0.764,0.259,"Canada"
"35","Ghost",2.91e-05,0.601,0.185,"Canada"
"36","Holly Jolly Christmas",0,0.647,0.865,"Canada"
"37","Can I Get It",0,0.703,0.0171,"Canada"
"38","Meet Me At Our Spot",0.000193,0.773,0.0153,"Canada"
"39","Do It To It",0.0542,0.854,0.0209,"Canada"
"40","MONTERO (Call Me By Your Name)",0,0.593,0.293,"Canada"
"41","Underneath the Tree",1.99e-05,0.509,0.0013,"Canada"
"42","2055",0,0.829,0.492,"Canada"
"43","love nwantiti (ah ah ah)",0.00137,0.727,0.365,"Canada"
"44","Where Are You Now",0.000411,0.671,0.515,"Canada"
"45","Woman",0.00294,0.824,0.0888,"Canada"
"46","Moth To A Flame (with The Weeknd)",0,0.542,0.00279,"Canada"
